rank,name,opendate,sales,sales_rate,ac_sales,attend,ac_attend,screen,show_freq,rep_na,na,pro_com,dis_com,age_rate,genre,director,actor,profit_line,,,,,
374,명탐정 코난:감벽의 관,2018-02-14,109591400,0.004,1.80E+09,15521,241810,487,1061,일본,일본,,,,,,,,,,,,
375,독수리 에디,2016-04-07,6925000,0,1.80E+09,958,225839,528,27,미국,미국,,이십세기폭스코리아(주),12세이상관람가,드라마,덱스터 플레처,"태런 에저튼,휴 잭맨",,,,,,
376,딥,2017-10-03,687000,0,1.77E+09,136,229339,3,9,스페인,스페인,,(주)이수C&E,,"애니메이션,모험",줄리오 소토 거피드,,,,,,,
377,순정,2016-02-24,11505500,0.001,1.74E+09,1795,240484,467,31,한국,한국,(주)주피터필름,(주)리틀빅픽쳐스,12세이상관람가,드라마,이은희,"도경수,김소현,연준석,이다윗,주다영,박용우,박해준,김지호,이범수,이대연,황석정,박정민,김권,오유진,박충선,조우람,최민석",,,,,,
1166,환절기,2018-02-22,2126800,-0.59,5.16E+07,297,6401,51,74,한국,한국,,(주)리틀빅픽쳐스,15세이상관람가,드라마,이동은,"배종옥,이원근,지윤호",8160,,,,,
379,연애의 맛,2015-05-07,12112500,0.001,1.73E+09,1615,214539,398,10,한국,한국,(주)청우필름,"(주)와우픽쳐스,(주)쇼박스",청소년관람불가,"멜로/로맨스,코미디",김아론,"오지호,최령,강예원,이종호,이혜란,박지환,정우일,정현진,유예원,이동진,형윤석,이승준,이은지,이은지,김중희,이은지,이은지,오민석",,,,,,
380,원피스 필름 골드,2016-12-08,6772500,0,1.71E+09,1115,217248,445,28,일본,일본,,씨제이이앤엠(주),12세이상관람가,"애니메이션,어드벤처,판타지,액션",미야모토 히로아키,"타나카 마유미,나카이 카즈야,오카무라 아케미,야마구치 캇페이,히라타 히로아키,오오타니 이쿠에,야마구치 유리코,야오 카즈키",,,,,,
381,레고 무비,2014-02-06,74196700,0.002,1.68E+09,9368,246110,122,627,미국,미국,,워너브러더스 코리아(주),전체관람가,"애니메이션,코미디,액션,가족","필 로드,크리스 밀러","윌 페렐,리암 니슨,엘리자베스 뱅크스,모건 프리먼,윌 아넷,닉 오퍼만,크리스 프랫",,,,,,
382,괴물의 아이,2015-11-25,240000,0,1.67E+09,40,224889,363,4,일본,일본,,"CGV아트하우스,(주)리틀빅픽쳐스",12세이상관람가,"애니메이션,판타지,어드벤처",호소다 마모루,"야쿠쇼 코지,미야자키 아오이,소메타니 쇼타,히로세 스즈",,,,,,
383,버드맨,2015-03-05,1464000,0,1.66E+09,175,206113,380,10,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"코미디,드라마",알레한드로 곤잘레스 이냐리투,"마이클 키튼,에드워드 노튼,엠마 스톤,나오미 왓츠",,,,,,
384,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,2015-01-14,22752900,0.001,1.65E+09,3156,233347,360,173,일본,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,유야마 쿠니히코,,,,,,,
385,남과 여,2016-02-25,10377500,0.001,1.65E+09,1277,203657,449,106,한국,한국,(주)영화사봄,(주)쇼박스,청소년관람불가,멜로/로맨스,이윤기,"전도연,공유,이미소,정선경,윤세아,김혜옥,박민지,전준호,오정완,조희,윤신혜,이보영,이상희",,,,,,
386,언프렌디드: 친구삭제,2015-05-07,14372600,0,1.64E+09,2018,218861,386,181,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러",레오 가브리아제,"샐리 헤닝,모세 제이콥 스톰,윌 펠츠,헤더 소서맨",,,,,,
29,블랙 팬서,2018-02-14,1420500,,4.59E+10,174,5399036,1620,21,,,,월트디즈니컴퍼니코리아 유한책임회사,,"액션,드라마,SF",라이언 쿠글러,,3840000,,,,,
388,루돌프와 많이있어,2016-12-28,1830000,0,1.63E+09,366,215993,375,7,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,"유야마 쿠니히코,사카키바라 모토노리","김율,신용우,홍범기,시영준,김영찬,정유정,김가령,이노우에 마오,스즈키 료헤이,미즈키 나나,후루타 아라타",,,,,,
389,일곱난쟁이,2014-12-24,3431200,0,1.62E+09,517,226218,92,24,독일,독일,,메가박스(주)플러스엠,전체관람가,"애니메이션,어드벤처,가족",헤랄드 지페르만,,,,,,,
390,어쌔신: 더 비기닝,2017-12-07,17425000,0,1.59E+09,1881,205368,528,24,미국,미국,,(주)이수C&E,15세이상관람가,"액션,스릴러",마이클 쿠에스타,딜런 오브라이언,6000000,,,,,
391,노아의 방주: 남겨진 녀석들,2015-04-30,1465000,0,1.59E+09,210,219621,436,5,독일,"독일,벨기에,룩셈부르크,아일랜드",,씨네그루(주)다우기술,전체관람가,애니메이션,토비 젠켈,"김하영,배진홍,윤세웅",,,,,,
392,50가지 그림자: 심연,2017-02-09,592000,0,1.59E+09,71,189620,435,13,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스",제임스 폴리,"제이미 도넌,다코타 존슨",,,,,,
393,유전,2018-06-07,11511600,0,1.56E+09,1465,176601,422,131,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"공포,미스터리",아리 애스터,"토니 콜렛,알렉스 울프",20000000,,,,,
394,기생수 파트1,2015-02-26,5608000,0,1.54E+09,701,186885,247,4,일본,일본,,판씨네마(주),청소년관람불가,"스릴러,SF",야마자키 타카시,"소메타니 쇼타,후카츠 에리,하시모토 아이,키타무라 카즈키,아사노 타다노부",,,,,,
395,발레리나,2017-02-09,2740800,0,1.52E+09,331,202383,434,11,프랑스,"프랑스,캐나다",,판씨네마(주),전체관람가,"애니메이션,어드벤처,가족,뮤지컬","에릭 섬머,에릭 와린","엘르 패닝,데인 드한",60000000,,,,,
396,"무현, 두 도시 이야기",2016-10-26,2656000,0,1.52E+09,403,193475,136,21,한국,한국,"제작위원회 ,엠앤씨에프",(주)모멘텀엔터테인먼트,15세이상관람가,다큐멘터리,전인환,"김원명,노무현",,,,,,
397,스누피: 더 피너츠 무비,2015-12-24,3905000,0,1.50E+09,489,197038,348,25,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처,코미디",스티브 마티노,,,,,,,
398,글로리데이,2016-03-24,279000,0,1.49E+09,33,189257,494,6,한국,한국,(주)보리픽쳐스,(주)엣나인필름,15세이상관람가,드라마,최정열,"지수,김준면,류준열,김희찬,김동완,김종수,문희경,유하복,이주실,이춘우,장시원,박성인,정다연,배연수,정지상,안병래,여기한,조제웅,유승완,윤기현,윤민영,이상희,이성훈,최승민,한보람,김용",,,,,,
399,더 셰프,2015-11-05,11643500,0,1.48E+09,1466,186438,409,38,미국,미국,,(주)이수C&E,15세이상관람가,드라마,존 웰스,"브래들리 쿠퍼,시에나 밀러,오마 사이,다니엘 브륄,엠마 톰슨,우마 서먼",,,,,,
400,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,22704000,0.001,1.47E+09,3004,202432,350,166,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,하시모토 마사카즈,,,,,,,
401,보이후드,2014-10-23,6020700,0,1.46E+09,795,190104,18,25,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,드라마,리차드 링클레이터,"엘라 콜트레인,에단 호크,패트리시아 아퀘트,로렐라이 링클레이터",,,,,,
402,레전드,2015-12-10,35394000,0.001,1.43E+09,4258,179578,449,227,프랑스,"프랑스,영국",,(주)이수C&E,청소년관람불가,"액션,범죄,드라마",브라이언 헬겔랜드,"톰 하디,태런 에저튼,에밀리 브라우닝",,,,,,
403,팬,2015-10-08,3014000,0,1.42E+09,321,186102,428,5,미국,미국,,워너브러더스 코리아(주),전체관람가,"판타지,어드벤처",조 라이트,"휴 잭맨,가렛 헤드룬드,루니 마라,리바이 밀러,아만다 사이프리드",,,,,,
404,문라이트,2017-02-22,4863400,0,1.41E+09,628,178130,191,9,미국,미국,,CGV아트하우스,,드라마,배리 젠킨스,,10000000,,,,,
405,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,2018-06-06,2457000,0,1.39E+09,376,183280,588,31,일본,일본,(주)이수C&E,(주)이수C&E,전체관람가,애니메이션,,,,,,,,
406,19곰 테드 2,2015-06-25,6368000,0,1.38E+09,725,170647,297,31,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,코미디,세스 맥팔레인,"마크 월버그,세스 맥팔레인,아만다 사이프리드,모건 프리먼,리암 니슨",,,,,,
407,조이,2016-03-10,8573000,0,1.37E+09,1089,171706,405,44,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"코미디,드라마",데이빗 O. 러셀,"제니퍼 로렌스,브래들리 쿠퍼,로버트 드니로",,,,,,
408,핵소 고지,2017-02-22,6458000,0,1.34E+09,1391,177433,442,22,미국,"미국,호주",,판씨네마(주),15세이상관람가,"드라마,전쟁",멜 깁슨,"앤드류 가필드,샘 워싱턴,휴고 위빙",,,,,,
409,"나는 내일, 어제의 너와 만난다",2017-10-12,610500,0,1.34E+09,102,175454,47,8,일본,일본,,12세이상관람가,,미키 타카히로,"후쿠시 소타,코마츠 나나",,,,,,,
410,더 큐어,2017-02-15,62750400,0.002,1.33E+09,7423,159929,419,661,미국,"미국,독일",,이십세기폭스코리아(주),청소년관람불가,"미스터리,스릴러",고어 버빈스키,"데인 드한,제이슨 아이삭스,미아 고스,셀리아 임리",,,,,,
411,아메리칸 울트라,2015-08-27,34246000,0.001,1.30E+09,4189,161382,341,479,미국,미국,,씨제이이앤엠(주),청소년관람불가,"액션,코미디",니마 누리자데,"제시 아이젠버그,크리스틴 스튜어트,코니 브리튼,토퍼 그레이스,월튼 고긴스,존 레귀자모",,,,,,
412,매직브러시,2016-05-04,1080000,0,1.29E+09,180,171515,460,9,중국,중국,,(주)영화사 빅,전체관람가,애니메이션,쯔씽 쫑,"김서영,김경희,박상훈,홍진욱",,,,,,
85,곤지암,2018-03-28,140000,,2.14E+10,14,2675617,,4,,,,(주)쇼박스,,"공포,미스터리",정범식,,1632000,,,,,
414,트랜스포터: 리퓰드,2015-10-15,110612000,0.005,1.26E+09,14348,161245,432,1162,프랑스,"프랑스,중국",,씨네그루(주)다우기술,15세이상관람가,"액션,범죄,스릴러",카밀 들라마레,"에드 스크레인,론 샤바놀",,,,,,
415,아메리칸 셰프,2015-01-07,901500,0,1.26E+09,124,154638,111,7,미국,미국,,(주)영화사 진진,15세이상관람가,코미디,존 파브로,"존 파브로,엠제이 안소니,소피아 베르가라,스칼렛 요한슨,더스틴 호프만,로버트 다우니 주니어,존 레귀자모",,,,,,
416,부활,2016-03-17,6480000,0,1.25E+09,960,176122,136,9,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,케빈 레이놀즈,"조셉 파인즈,톰 펠튼",,,,,,
417,대배우,2016-03-30,3110000,0,1.25E+09,622,169848,474,18,한국,한국,주식회사 영화사다,"(주)대명문화공장,(주)리틀빅픽쳐스",12세이상관람가,코미디,석민우,"오달수,윤제문,이경영,진경,강신일,유지태,김명민,김새론,이준익,최병모,최희진,권용덕,박지환,임태훈,임호,정성호,신동필,이영미,한대룡,김문학,김윤주",,,,,,
418,다운사이징,2018-01-11,1031000,0,1.24E+09,155,150345,511,19,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,,"SF,코미디,드라마",알렉산더 페인,,160000000,,,,,
419,시카리오: 암살자의 도시,2015-12-03,1153900,0,1.24E+09,149,152973,227,6,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"범죄,스릴러,드라마",드니 빌뇌브,"에밀리 블런트,베니치오 델 토로,조슈 브롤린",60000000,,,,,
87,지금 만나러 갑니다,2018-03-14,451500,,2.08E+10,50,2601112,1191,10,,,,롯데쇼핑㈜롯데엔터테인먼트,,"판타지,멜로,로맨스",이장훈,,10444800,,,,,
421,나미야 잡화점의 기적,2018-02-28,1174142185,0.039,1.19E+09,155241,157331,532,6047,일본,일본,,(주)이수C&E,,"드라마,판타지",히로키 류이치,,,,,,,
422,워킹걸,2015-01-07,6333000,0,1.19E+09,736,150125,308,5,한국,한국,"(주)홍필름,(주)수필름",메가박스(주)플러스엠,청소년관람불가,"코미디,멜로/로맨스",정범식,"조여정,클라라,김태우,배유람,정범식,정범식,박주희,백경인,조은영,손진우,배성우,유찬호,김세미,라미란,김승주,이민아,황준호,이승원,이시현,박상민,조재윤,김영옥,김보연,오나라",,,,,,
423,빅,2016-07-27,5940100,0,1.17E+09,1186,160461,332,47,미국,"미국,인도",,이십세기폭스필름코퍼레이션,전체관람가,"애니메이션,어드벤처,코미디,가족",페니 마샬,,,,,,,
424,최강전사 미니특공대 : 새로운 악당의 습격,2015-02-05,5488500,0,1.17E+09,753,155170,318,64,한국,한국,(주)삼지애니메이션,에이원엔터테인먼트,전체관람가,애니메이션,이영준,"엄상현,전태열,신용우",,,,,,
425,레고 배트맨 무비,2017-02-09,2244300,0,1.17E+09,329,148680,427,16,미국,미국,,워너브러더스 코리아(주),전체관람가,"애니메이션,액션,코미디",크리스 맥케이,"윌 아넷,로자리오 도슨,랄프 파인즈,마이클 세라",,,,,,
426,13시간,2016-03-03,1682000,0,1.17E+09,210,145952,380,33,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,드라마,스릴러",마이클 베이,"존 크랜신스키,파블로 쉬레이버,토비 스티븐스",,,,,,
427,서울역,2016-08-17,194000,0,1.16E+09,30,147017,440,9,한국,한국,"주식회사 다다쇼,(주)화인컷",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,애니메이션,연상호,"류승룡,심은경,이준,연상호,연상호,연상호,연상호,오윤석,이건우,이동하,이상희,이상희,최길수",,,,,,
428,달빛궁궐,2016-09-07,1035000,0,1.15E+09,171,152856,425,13,한국,한국,"스튜디오홀호리(주),(주)콘텐츠판다",(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,판타지,어드벤처",김현주,"김서영,이하늬,권율,김슬기,신용우,이장원,시영준,이상범,이현,강시현,문유정,정주원,신경선,이유리",,,,,,
429,비정규직 특수요원,2017-03-16,1070000,0,1.15E+09,182,149720,497,11,한국,한국,"(주)스톰픽쳐스코리아,컴퍼니에이이엔티(주)","(주)이수C&E,(주)스톰픽쳐스코리아",15세이상관람가,"코미디,액션",김덕수,"강예원,한채아,조재윤,김민교,김성은,남성진,동현배,남궁민",,,,,,
430,은밀한 유혹,2015-06-04,13289000,0,1.14E+09,1930,145432,394,149,한국,한국,"(주)영화사비단길,(주)수필름",씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,범죄",윤재구,"임수정,유연석,이경영,박철민,진경,도희,조희성,최민우,이광수,홍정표,민혜경,이동훈,곽민호",,,,,,
431,미스컨덕트,2016-03-30,4035000,0,1.13E+09,599,148512,470,10,미국,미국,,"(주)박수엔터테인먼트,㈜코리아스크린",15세이상관람가,"범죄,스릴러",시모사와 신타로,"알 파치노,안소니 홉킨스,조쉬 더하멜,이병헌",,,,,,
432,자백,2016-10-13,1652000,0,1.13E+09,175,143814,152,8,한국,한국,한국탐사저널리즘센터,(주)엣나인필름,15세이상관람가,다큐멘터리,최승호,최승호,,,,,,
433,마담 프루스트의 비밀정원,2014-07-24,1331600,0,1.12E+09,162,143430,18,15,프랑스,프랑스,,찬란,전체관람가,코미디,실뱅 쇼메,"귀욤 고익스,앤 르니",,,,,,
434,장난감이 살아있다,2016-09-07,5850000,0,1.11E+09,737,142928,294,6,아르헨티나,"아르헨티나,스페인",,"㈜코리아스크린,와이드 릴리즈(주)",전체관람가,"애니메이션,어드벤처,가족",후안 호세 캄파넬라,"니콜라스 홀트,아리아나 그란데,케이티 홈즈,루퍼트 그린트",,,,,,
435,우먼 인 골드,2015-07-09,4610000,0,1.10E+09,573,143291,252,18,미국,"미국,영국",,(주)팝엔터테인먼트,12세이상관람가,드라마,사이먼 커티스,"헬렌 미렌,라이언 레놀즈,다니엘 브륄",,,,,,
94,레디 플레이어 원,2018-03-28,304300,,1.99E+10,39,2251311,1079,4,,,,워너브러더스 코리아(주),,스릴러,이창희,,952000000,,,,,
437,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,2015-04-23,247000,0,1.09E+09,39,150209,372,7,일본,일본,,,전체관람가,"애니메이션,코미디,어드벤처",다카하시 와타루,,,,,,,
438,극장판 또봇: 로봇군단의 습격,2017-04-27,2254000,0,1.09E+09,266,141592,231,20,한국,한국,레트로봇 주식회사,씨제이이앤엠(주),전체관람가,애니메이션,"이달,고동우","하룡이,신경선,이현",,,,,,
439,플로렌스,2016-08-24,6357500,0,1.08E+09,789,139546,382,31,영국,영국,,(주)이수C&E,15세이상관람가,드라마,스티븐 프리어스,"메릴 스트립,휴 그랜트",,,,,,
440,화장,2015-04-09,1115000,0,1.07E+09,150,142455,327,26,한국,한국,(주)명필름,(주)리틀빅픽쳐스,청소년관람불가,드라마,임권택,"안성기,김규리,김호정,박혜미,윤종호,이소정,이은경,안석환,연우진,김병춘,주현",,,,,,
441,로빈슨 크루소,2016-09-07,6556000,0,1.07E+09,822,139392,329,9,벨기에,벨기에,,(주)영화사 빅,전체관람가,"애니메이션,어드벤처,코미디","벤 스타센,빈센트 케스텔루트","마티아스 슈바이그호퍼,데이비드 하워드,콜린 메츠거,라일라 베르진,조이 카멘,마리브 헤링턴",,,,,,
442,대니쉬 걸,2016-02-17,2949000,0,1.07E+09,349,133508,246,27,미국,"미국,영국",,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,드라마,톰 후퍼,"에디 레드메인,알리시아 비칸데르,엠버 허드,벤 위쇼",,,,,,
443,킹 오브 프리즘 - 프라이드 더 히어로,2018-06-10,28281500,0.001,1.06E+09,1236,125863,92,17,일본,일본,(주)박수엔터테인먼트,(주)박수엔터테인먼트,,애니메이션,히시다 마사카즈,,,,,,,
444,카페 소사이어티,2016-09-14,903000,0,1.05E+09,128,126439,199,16,미국,미국,,CGV아트하우스,15세이상관람가,"코미디,드라마,멜로,로맨스",우디 앨런,"제시 아이젠버그,크리스틴 스튜어트,스티브 카렐,블레이크 라이블리",60000000,,,,,
445,극장판 아이엠스타 : 꿈의 오디션!,2016-02-11,2004000,0,1.05E+09,234,141175,254,24,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,키무라 류이치,"정혜원,이용신,소연,이선,신용우",,,,,,
446,나의 절친 악당들,2015-06-25,7314500,0,1.05E+09,917,133532,384,68,한국,한국,"휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),청소년관람불가,"범죄,액션,드라마",임상수,"류승범,고준희,류현경,샘 오취리,김응수,정원중,양익준,김주혁,이정배,임상수,정인호,최보람,안상완,윤여정,이래규,한효준,홍성훈,이상미,홍의정,이상화,김태영,김형규",,,,,,
447,심야식당,2015-06-18,2777500,0,1.05E+09,336,132192,180,57,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,마츠오카 조지,"코바야시 카오루,오다기리 조,타카오카 사키",,,,,,
448,제 5침공,2016-02-25,259000,0,1.04E+09,34,135874,312,14,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",J 블레이크슨,"클로이 모레츠,닉 로빈슨,알렉스 로",,,,,,
449,시간위의 집,2017-04-05,182000,0,1.02E+09,32,128975,454,17,한국,한국,"리드미컬그린(주),자이온 이엔티(주),브릿지웍스 엔터테인먼트(주),라이브(주)","(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",15세이상관람가,"미스터리,스릴러",임대웅,"김윤진,옥택연,조재윤,이한위,박준면,백도빈,유인영",,,,,,
450,워터 디바이너,2015-01-28,9154500,0,1.01E+09,1134,135722,326,87,미국,"미국,호주,터키",,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,전쟁",러셀 크로우,"러셀 크로우,올가 쿠릴렌코,제이 코트니",45000000,,,,,
451,헤이트풀8,2016-01-07,3629000,0,1.00E+09,633,121081,167,21,미국,미국,,(주)누리픽쳐스,청소년관람불가,"액션,스릴러,서부극(웨스턴)",쿠엔틴 타란티노,"사무엘 L. 잭슨,커트 러셀,제니퍼 제이슨 리,월튼 고긴스,데미안 비쉬어,팀 로스,마이클 매드슨,브루스 던,채닝 테이텀",44000000,,,,,
452,빅샤크: 매직체인지,2018-06-27,19890800,0,1.00E+09,3605,136716,414,91,중국,중국,,와이드 릴리즈(주),전체관람가,"애니메이션,모험",헤 질리,,,,,,,
453,명탐정 코난: 에피소드 원-작아진 명탐정,2017-02-08,601300,0,9.99E+08,76,128472,215,7,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,야마모토 야스이치로,,,,,,,
454,마이 리틀 자이언트,2016-08-10,5219000,0,9.89E+08,767,125493,128,23,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"어드벤처,가족,판타지",스티븐 스필버그,"마크 라이런스,레베카 홀,빌 헤이더,제메인 클레멘트,매트 프류어,라프 스팰,아담 가들리,헤이그 수더랜드,마이클 아담스웨이트",,,,,,
455,러브 라이브! 더 스쿨 아이돌 무비,2015-09-03,5022500,0,9.82E+08,720,129845,66,6,일본,일본,,(주)박수엔터테인먼트,전체관람가,애니메이션,쿄고쿠 타카히코,"토쿠이 소라,파일,쿠보 유리카,이이다 리호,쿠스다 아이나,난죠 요시노,미모리 스즈코,우치다 아야,닛타 에미",,,,,,
456,직쏘,2017-11-02,11000,0,9.78E+08,5,112237,157,5,미국,미국,,㈜코리아스크린,,공포,"피터 스피어리그,마이클 스피어리그",,30000000,,,,,
457,눈길,2017-03-01,2375000,0,9.70E+08,297,129561,495,3,한국,한국,KBS,"(주)엣나인필름,CGV아트하우스",15세이상관람가,드라마,이나정,"김영옥,김향기,김새론,조수향,서영주,장영남",,,,,,
458,킹 오브 프리즘,2016-08-11,6629000,0,9.64E+08,850,116217,53,37,일본,일본,,(주)박수엔터테인먼트,,"애니메이션,아이돌,음악",히시다 마사카즈,,,,,,,
459,여교사,2017-01-04,5130500,0,9.61E+08,986,118544,393,45,한국,한국,(주)외유내강,필라멘트픽쳐스,청소년관람불가,드라마,김태용,"김하늘,유인영,이원근,이기우",,,,,,
460,퇴마: 무녀굴,2015-08-20,5850000,0,9.52E+08,1015,120783,331,29,한국,한국,"(주)케이프로덕션,플로우식스(주),버티고필름",씨네그루(주)다우기술,15세이상관람가,"공포(호러),스릴러",김휘,"김성균,유선,천호진,차예련,김혜성,박수민,박시영,임화영,유성훈,윤지민,이상희,이승희,신나리",,,,,,
461,얼리맨,2018-05-03,9351000,0,9.40E+08,957,122251,13,28,영국,영국,(주)이수C&E,(주)이수C&E,,"어드벤처,액션",로아 우타우,,100000000,,,,,
462,라스트 위치 헌터,2015-12-30,1986000,0,9.35E+08,379,122017,278,11,미국,미국,,TCO(주)더콘텐츠온,15세이상관람가,"액션,어드벤처,판타지",브렉 에이즈너,"빈 디젤,일라이저 우드,로즈 레슬리,마이클 케인",,,,,,
463,존 윅,2015-01-21,916000,0,9.25E+08,162,116025,321,15,미국,미국,,(주)나이너스엔터테인먼트,청소년관람불가,"액션,스릴러","데이빗 레이치,채드 스타헬스키","키아누 리브스,애드리앤 팰리키,윌렘 데포",,,,,,
464,미스 사이공 : 25주년 특별 공연,2016-11-24,8366000,0,9.25E+08,473,47847,100,15,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,공연,브렛 설리반,"알리스태어 브래머,에바 노블자다,홍광호,존 존 브라이언스",,,,,,
465,미라클 벨리에,2015-08-27,676000,0,9.20E+08,84,120328,245,8,프랑스,프랑스,,(주)영화사 진진,12세이상관람가,드라마,에릭 라티고,"로앤 에머라,카렝 비야,프랑소아 다미앙,에릭 엘모스니노",,,,,,
466,꾸뻬씨의 행복여행,2014-11-27,1256000,0,9.19E+08,187,125128,7,14,영국,"영국,독일,캐나다,남아프리카공화국",,그린나래미디어(주),15세이상관람가,"어드벤처,드라마",피터 첼섬,"사이몬 페그,로자먼드 파이크,장 르노,스텔란 스카스가드,크리스토퍼 플러머",,,,,,
467,마이펫 오지,2017-02-16,9784600,0,9.10E+08,1292,123691,393,56,스페인,"스페인,캐나다",,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처","알베르토 로드리게즈,나초 라 까사",,20000000,,,,,
468,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,1989500,0,9.06E+08,398,135398,200,3,한국,한국,"(주)아이코닉스,(주)스튜디오게일",(주)아이코닉스,전체관람가,애니메이션,류정우,,,,,,,
469,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,2017-01-25,4296000,0,9.05E+08,601,119084,334,33,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,타카하시 와타루,"박영남,김환진,강희선,여민정,장경희,정혜옥,송하림,김연우,박영화,장 미,윤은서,이기성,장예나,김민주,현경수",,,,,,
470,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,25876000,0.001,8.97E+08,3603,117287,124,131,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,SF,액션",이토 토모히코,"마츠오카 요시츠구,토마츠 하루카,이토 카나에",,,,,,
471,당갈,2018-04-25,10894600,0,8.95E+08,1446,107756,261,75,인도,인도,,(주)넥스트엔터테인먼트월드(NEW),,멜로/로맨스,임순례,,10240657,,,,,
472,죽여주는 여자,2016-10-06,1222500,0,8.81E+08,216,120724,317,14,한국,한국,"한국영화아카데미,주식회사 뭉클픽쳐스",CGV아트하우스,청소년관람불가,드라마,이재용,"윤여정,전무송,윤계상,박성진,윤효진",,,,,,
473,감바의 대모험,2016-11-10,1595000,0,8.74E+08,393,117391,400,20,일본,일본,,(주)영화사 빅,전체관람가,"애니메이션,어드벤처","카와무라 토모히로,코모리 요시히로",,,,,,,
474,셀프/리스,2015-09-10,1574600,0,8.74E+08,194,111049,340,24,미국,미국,,(주)이수C&E,15세이상관람가,"SF,액션,스릴러",타셈 싱,"라이언 레놀즈,벤 킹슬리,매튜 구드",,,,,,
475,최강전사 미니특공대: 영웅의 탄생,2016-02-04,5956200,0,8.70E+08,935,116062,349,35,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,이영준,"엄상현,양정화,전태열",,,,,,
476,스틸 앨리스,2015-04-29,1723000,0,8.70E+08,231,112700,116,14,미국,미국,,그린나래미디어(주),12세이상관람가,드라마,"리처드 글랫저,워시 웨스트모어랜드","줄리안 무어,알렉 볼드윈,크리스틴 스튜어트,케이트 보스워스",,,,,,
477,"안녕, 나의 소녀",2018-05-16,1142500,0,8.68E+08,160,111541,83,47,대만,대만,오드,오드,12세이상관람가,멜로,사준의,"류이호,송운화",,,,,,
478,피터와 드래곤,2016-09-28,2528000,0,8.65E+08,365,108981,167,3,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"어드벤처,가족,판타지",데이빗 로워리,"브라이스 달라스 하워드,오크스 페글리,웨스 벤틀리,칼 어번,로버트 레드포드,크레이그 홀,이시아 휘틀록 주니어",,,,,,
479,레드 스패로,2018-02-28,960000,0,8.61E+08,120,108344,389,9,미국,미국,,이십세기폭스코리아(주),청소년관람불가,스릴러,프란시스 로렌스,"제니퍼 로렌스,조엘 에저튼",138000000,,,,,
480,다이노소어 어드벤처 : 백악기 공룡대백과,2016-05-04,15590500,0.001,8.50E+08,1894,110991,325,44,영국,영국,,,전체관람가,다큐멘터리,"닐 나이팅게일,베리 쿡,앤드류 코헨",,,,,,,
