rank,name,opendate,sales,sales_rate,ac_sales,attend,ac_attend,screen,show_freq,rep_na,na,pro_com,dis_com,age_rate,genre,director,actor,profit_line,,,,,
17,내부자들,2015-11-19,2398500,0,5.66E+10,543,7072011,1129,10,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명",,,,,,
18,럭키,2016-10-13,7981000,0,5.64E+10,1092,6974389,1234,70,한국,한국,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식",,,,,,
19,범죄도시,2017-10-03,2387500,0,5.63E+10,311,6879822,728,38,한국,한국,,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",,"액션,범죄",강윤성,,5984000,,,,,
20,곡성,2016-05-12,2346000,0,5.59E+10,313,6879850,1485,22,한국,한국,"사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),15세이상관람가,"미스터리,스릴러,드라마",나흥진,"곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경",8160000,,,,,
21,인천상륙작전,2016-07-27,3145500,0,5.51E+10,426,7046897,1049,27,한국,한국,(주)태원엔터테인먼트,씨제이이앤엠(주),12세이상관람가,"전쟁,드라마",이재한,"김정철,이정재,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,황석하,이창세,박정원,박현선,션 리차드,이유진,한비,김희진",,,,,,
22,킹스맨 : 시크릿 에이전트,2015-02-11,13152500,0,5.04E+10,1686,6129627,728,56,미국,"미국,영국",,이십세기폭스코리아(주),청소년관람불가,"액션,스릴러",매튜 본,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",,,,,,
23,쥬라기 월드: 폴른 킹덤,2018-06-06,20602600,0.001,4.98E+10,2572,5660178,1972,172,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,모험,?SF,스릴러,공포,서스펜스",후안 안토니오 바요나,"크리스 프랫,브라이스 댈러스 하워드",,,,,,
24,사도,2015-09-16,1085000,0,4.88E+10,252,6246849,1210,4,한국,한국,(주)타이거픽쳐스,(주)쇼박스,12세이상관람가,"사극,드라마",이준익,"송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,안태훈,조승연",8160000,,,,,
25,미션 임파서블: 로그네이션,2015-07-30,3794500,0,4.85E+10,482,6126478,1202,26,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,스릴러,어드벤처",크리스토퍼 맥쿼리,"톰 크루즈,제레미 레너,사이몬 페그,알렉 볼드윈,레베카 퍼거슨",,,,,,
26,쥬라기 월드,2015-06-11,2954000,0,4.78E+10,375,5546768,1290,20,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오",,,,,,
27,닥터 스트레인지,2016-10-26,5216500,0,4.75E+10,609,5446239,1503,12,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",스콧 데릭슨,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,마이클 스털버그,베네딕트 왕",,,,,,
28,앤트맨과 와스프,2018-07-04,1616101540,0.033,4.71E+10,202091,5405055,1775,10440,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"슈퍼히어로,SF,코미디",페이턴 리드,"폴 러드,에반젤린 릴리,마이클 더글라스",,,,,,
32,독전,2018-05-22,7636800,0,4.35E+10,942,5063402,1413,112,한국,한국,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),,"느와르,액션",이해영,,7616000,,,,,
30,연평해전,2015-06-24,290000,0,4.56E+10,68,6044605,1013,6,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일",,,,,,
31,덕혜옹주,2016-08-03,3535000,0,4.44E+10,766,5597182,964,6,한국,한국,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,드라마",허진호,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규",,,,,,
41,"님아, 그 강을 건너지 마오",2014-11-27,357000,0,3.74E+10,47,4801596,486,15,한국,한국,아거스필름,"CGV아트하우스,(주)대명문화공장",전체관람가,다큐멘터리,진모영,"조병만,강계열",272000,,,,,
33,더 킹,2017-01-18,4102500,0,4.35E+10,653,5315909,1310,19,한국,한국,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",한재림,"조인성,정우성,배성우,김아중,류준열,김의성,김민재,정성모,정은채,김소진,황승언,이주연,정준용",,,,,,
34,검은 사제들,2015-11-05,2700000,0,4.24E+10,450,5442503,1109,17,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철",,,,,,
35,미녀와 야수,2017-03-16,2812500,0,4.21E+10,469,5138096,1627,41,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"판타지,멜로/로맨스",크리스토프 갱스,"엠마 왓슨,댄 스티븐스,루크 에반스,이완 맥그리거,이안 맥켈런,엠마 톰슨,구구 바샤-로,케빈 클라인,스탠리 투치",,,,,,
36,킹스맨: 골든 서클,2017-09-27,3917000,0,4.10E+10,584,4945484,28,18,미국,"미국,영국",,이십세기폭스코리아(주),,"액션, 모험, 코미디",매튜 본,,,,,,,
37,마션,2015-10-08,291000,0,3.97E+10,41,4881865,1132,7,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,SF",리들리 스콧,"맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그",,,,,,
38,신비한 동물사전,2016-11-16,13738600,0,3.93E+10,1608,4666990,1431,67,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,가족,판타지",데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이",,,,,,
39,토르: 라그나로크,2017-10-25,4142000,0,3.92E+10,531,4853554,1456,21,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,,"액션,판타지",타이카 와이티티,,,,,,,
40,인사이드 아웃,2015-07-09,1988100,0,3.80E+10,335,4969425,931,7,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,코미디",피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더",,,,,,
44,강철비,2017-12-14,7255500,0,3.55E+10,1358,4452515,1426,297,한국,한국,,(주)넥스트엔터테인먼트월드(NEW),,"액션,드라마",양우석,,11968000,,,,,
42,주토피아,2016-02-17,6829700,0,3.71E+10,1179,4706158,735,28,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라",,,,,,
43,판도라,2016-12-07,5301500,0,3.61E+10,1251,4582977,1184,14,한국,한국,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,판타지",앨버트 르윈,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성",,,,,,
48,꾼,2017-11-22,4339000,0,3.13E+10,790,4018035,1314,39,한국,한국,,(주)쇼박스,15세이상관람가,범죄,장창원,현빈,4896000,,,,,
45,아가씨,2016-06-01,3320600,0,3.52E+10,398,4287481,1171,30,한국,한국,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",씨제이이앤엠(주),청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재",,,,,,
46,데드풀 2,2018-05-16,4946900,0,3.42E+10,579,3784094,742,34,미국,미국,이십세기폭스코리아(주),이십세기폭스코리아(주),청소년관람불가,"액션,모험,판타지,SF",데이빗 레이치,"라이언 레이놀즈,조슈 브롤린",,,,,,
47,매드 맥스: 분노의 도로,2015-05-14,6308000,0,3.34E+10,811,3883982,799,21,미국,"미국,호주",,워너브러더스 코리아(주),15세이상관람가,"액션,어드벤처,스릴러",조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼",,,,,,
50,남한산성,2017-10-03,934000,0,3.12E+10,150,3848108,232,21,한국,한국,,씨제이이앤엠(주),,드라마,황동혁,,15232000,,,,,
49,쿵푸팬더3,2016-01-28,1956600,0,3.13E+10,248,3984794,1365,13,미국,미국,드림웍스 애니메이션,씨제이이앤엠(주),전체관람가,"애니메이션,액션,어드벤처","여인영,알레산드로 칼로니","잭 블랙,안젤리나 졸리,더스틴 호프만,성룡,세스 로건,루시 리우,데이빗 크로스,J.K. 시몬스",,,,,,
61,그것만이 내 세상,2018-01-17,2799000,0,2.74E+10,474,3417261,884,8,한국,한국,,씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정",5712000,,,,,
51,조선명탐정 : 사라진 놉의 딸,2015-02-11,3340000,0,3.05E+10,530,3872015,825,5,한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,코미디,어드벤처",김석윤,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민",,,,,,
52,미이라,2017-06-06,481272900,0.02,3.04E+10,60071,3674206,1257,3556,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,판타지",알렉스 커츠먼,"톰 크루즈,소피아 부텔라,애나벨 월리스,러셀 크로우,하비에르 보텟,제이크 존슨,코트니 B. 반스,딜란 스미스",,,,,,
53,분노의 질주: 더 익스트림,2017-04-12,4568000,0,3.00E+10,603,3652144,1469,58,미국,"미국,일본,프랑스,캐나다",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,미셸 로드리게즈,엘자 패터키,에바 멘데스,헬렌 미렌,조다나 브루스터,루카스 블랙,타이레스 깁슨,루다크리스",,,,,,
54,너의 이름은.,2018-01-04,40482400,0.001,2.99E+10,5592,3710827,947,319,일본,일본,,메가박스중앙(주)플러스엠,전체관람가,"애니메이션,로맨스,판타지",신카이 마코토,"카미키 류노스케,카미시라이시 모네",,,,,,
