,rank,name,opendate,month,ac_sales,attend,ac_attend,screen,rep_na,dis_com,age_rate,genre,director,profit_line,actor,act_point
170,76,자백,2016-10-13,10,1.13E+09,4069,143814,152,한국,(주)엣나인필름,15세이상관람가,다큐멘터리,최승호,,,
171,73,화장,2015-04-09,4,1.07E+09,91623,142455,327,한국,(주)리틀빅픽쳐스,청소년관람불가,드라마,임권택,,,
172,77,극장판 또봇: 로봇군단의 습격,2017-04-27,4,1.09E+09,1741,141592,231,한국,씨제이이앤엠(주),전체관람가,애니메이션,"이달,고동우",1.00E+08,,
173,9,독전: 익스텐디드 컷,2018-07-18,7,8.39E+08,111528,136885,398,한국,,,,,108800,,
174,64,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,1,9.06E+08,2039,135398,200,한국,(주)아이코닉스,전체관람가,애니메이션,류정우,,,
175,36,나의 절친 악당들,2015-06-25,6,1.05E+09,1402,133532,384,한국,이십세기폭스코리아(주),청소년관람불가,"범죄,액션,드라마",임상수,,,0.022166003
176,72,눈길,2017-03-01,3,9.70E+08,37996,129561,495,한국,"(주)엣나인필름,CGV아트하우스",15세이상관람가,드라마,이나정,,,0.037197599
177,166,시간위의 집,2017-04-05,4,1.02E+09,19412,128975,454,한국,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",15세이상관람가,"미스터리,스릴러",임대웅,,,0.011927079
178,36,퇴마: 무녀굴,2015-08-20,8,9.52E+08,3146,120783,331,한국,씨네그루(주)다우기술,15세이상관람가,"공포(호러),스릴러",김휘,,,0.000736476
179,93,죽여주는 여자,2016-10-06,10,8.81E+08,341,120724,317,한국,CGV아트하우스,청소년관람불가,드라마,이재용,,윤여정,0.192454472
180,45,여교사,2017-01-04,1,9.61E+08,21500,118544,393,한국,필라멘트픽쳐스,청소년관람불가,드라마,김태용,,김하늘,0.016604178
181,26,"서서평, 천천히 평온하게",2017-04-26,4,8.39E+08,3703,116372,234,한국,커넥트픽쳐스(주),전체관람가,다큐멘터리,"홍주연,홍현정",,하정우,0.510277183
182,39,최강전사 미니특공대: 영웅의 탄생,2016-02-04,2,8.70E+08,1461,116062,349,한국,(주)삼지애니메이션,전체관람가,애니메이션,이영준,,,
183,36,루시드 드림,2017-02-22,2,7.58E+08,29388,101913,461,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"SF,스릴러",김준성,,고수,0.001439475
184,21,게이트,2018-02-28,2,8.21E+08,73789,101173,208,한국,(주)제이앤씨미디어그룹,15세이상관람가,"코미디,범죄",신재호,5440000,,
185,63,돌연변이,2015-10-22,10,7.49E+08,3850,100505,399,한국,필라멘트픽쳐스,12세이상관람가,"드라마,코미디",권오광,,이광수,0.008971612
186,56,슈퍼 빼꼼: 스파이 대작전,2017-05-03,5,7.11E+08,21340,99401,358,한국,메가박스중앙(주)플러스엠,전체관람가,"애니메이션,코미디",임아론,,,
187,112,김광석,2017-08-30,8,7.72E+08,20375,98209,5,한국,(주)비엠컬쳐스,,다큐멘터리,김광석,,,
188,57,여중생A,2018-06-20,6,8.08E+08,62734,97410,479,한국,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,,,,
189,18,무서운 이야기 3 : 화성에서 온 소녀,2016-06-01,6,7.80E+08,13478,97300,317,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,공포(호러),"백승빈,김선,김곡,민규동",,,0.027455238
190,37,걷기왕,2016-10-20,10,7.08E+08,10000,95086,462,한국,CGV아트하우스,12세이상관람가,드라마,백승화,,,
191,56,일사각오,2016-03-17,3,6.80E+08,24381,94280,66,한국,파이오니아21,12세이상관람가,드라마,"권혁만,고문안",,,
192,64,슈퍼 프렌즈,2016-08-10,8,6.63E+08,9658,89615,255,한국,씨네그루(주)키다리이엔티,전체관람가,애니메이션,"이경호,이원재",,,
193,38,다이노X 탐험대,2016-05-04,5,6.40E+08,3940,82859,348,한국,(주)이수C&E,전체관람가,"애니메이션,다큐멘터리",이동희,,,
194,186,최악의 하루,2016-08-25,8,6.39E+08,2058,80696,199,한국,CGV아트하우스,15세이상관람가,멜로/로맨스,김종관,,,0.018886136
195,104,지금은맞고그때는틀리다,2015-09-24,9,6.62E+08,2458,80308,70,한국,"(주)영화제작전원사 ,(주)넥스트엔터테인먼트월드(NEW)",청소년관람불가,드라마,홍상수,,,0.024056809
196,18,엽기적인 그녀 2,2016-05-12,5,5.94E+08,957,77007,387,한국,(주)리틀빅픽쳐스,15세이상관람가,"멜로/로맨스,코미디",조근식,,차태현,0.291644349
197,77,쓰리 썸머 나잇,2015-07-15,7,6.10E+08,14082,76872,297,한국,"(주)리틀빅픽쳐스,(주)인벤트스톤",청소년관람불가,코미디,김상진,,김동욱,0.200053562
198,164,번개맨,2016-02-11,2,5.16E+08,1280,69249,393,한국,씨네그루(주)키다리이엔티,전체관람가,"판타지,가족",조근현,,,
199,33,올레,2016-08-25,8,5.23E+08,2159,66865,338,한국,"(주)대명문화공장,(주)리틀빅픽쳐스",15세이상관람가,"드라마,코미디",채두병,,신하균,0.076660418
200,41,뷰티풀 투모로우,2017-10-26,10,5.48E+08,16885,62650,31,한국,씨제이 씨지브이(CJ CGV)(주),,장재혁,"박효신,정재일",,,
201,80,두 남자,2016-11-30,11,4.60E+08,15813,60365,397,한국,씨네그루(주)키다리이엔티,청소년관람불가,"범죄,액션",이성태,,마동석,0.687868238
202,64,순종,2016-11-17,11,4.13E+08,2445,57810,104,한국,"(재)CBS,(주)영화사 안다미로",전체관람가,다큐멘터리,"김동민,이주훈",,,
203,78,밤의 해변에서 혼자,2017-03-23,3,4.37E+08,30209,56751,133,한국,"(주)영화제작전원사 ,(주)콘텐츠판다",청소년관람불가,드라마,홍상수,,,0.00559052
204,67,그물,2016-10-06,10,4.26E+08,50192,56507,381,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,김기덕,,,0.044378236
205,51,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,4,4.07E+08,11248,56196,258,한국,예지림엔터테인먼트,전체관람가,애니메이션,박정오,,,
206,23,빅뱅 메이드,2016-06-30,6,4.65E+08,3609,55227,56,한국,씨제이 씨지브이(CJ CGV)(주),12세이상관람가,다큐멘터리,변진호,,,
207,119,잡아야 산다,2016-01-07,1,4.15E+08,1396,55002,219,한국,오퍼스픽쳐스,15세이상관람가,"코미디,액션",오인천,,,
208,67,고녀석 맛나겠다2 : 함께라서 행복해,2015-07-29,7,3.79E+08,3712,54643,142,한국,(주)리틀빅픽쳐스,전체관람가,"애니메이션,가족,어드벤처","최경석,노나카 카즈미",,,
209,76,미안해 사랑해 고마워,2015-10-28,10,3.58E+08,7382,51049,344,한국,(주)쇼박스,15세이상관람가,드라마,전윤수,,,
210,123,더 테너 리리코 스핀토,2014-12-31,12,3.91E+08,28039,50470,176,한국,"(주)박수엔터테인먼트,(주)모인그룹",12세이상관람가,드라마,김상만,,유지태,0.121987145
212,130,비밀,2015-10-15,10,3.69E+08,1072,50194,305,한국,CGV아트하우스,15세이상관람가,"미스터리,드라마","박은경,이동하",,성동일,0.092595072
214,83,데자뷰,2018-05-30,5,3.61E+08,6228,48277,389,한국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,액션,토니 스콧,,,
215,38,목숨 건 연애,2016-12-14,12,3.63E+08,10442,47968,393,한국,오퍼스픽쳐스,15세이상관람가,"멜로/로맨스,코미디",송민규,,,
216,119,우리들,2016-06-16,6,3.51E+08,8934,47410,76,한국,(주)엣나인필름,전체관람가,드라마,윤가은,,,
217,33,"그래, 가족",2017-02-15,2,3.49E+08,8410,46521,361,한국,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,코미디,마대윤,,,
218,51,비밥바룰라,2018-01-24,1,3.14E+08,33733,45440,304,한국,씨네그루(주)키다리이엔티,12세이상관람가,코미디,이성재,,,
219,97,성실한 나라의 앨리스,2015-08-13,8,3.49E+08,23683,43944,69,한국,CGV아트하우스,청소년관람불가,드라마,안국진,,이정현,0.147362078
220,35,젝스키스 에이틴,2018-01-18,1,3.25E+08,18758,43836,19,한국,씨제이 씨지브이(CJ CGV)(주),전체관람가,다큐멘터리,이지영,,,
221,81,범죄의 여왕,2016-08-25,8,3.43E+08,2082,43741,270,한국,"(주)콘텐츠판다,TCO(주)더콘텐츠온",15세이상관람가,"스릴러,코미디",이요섭,,,
222,54,약장수,2015-04-23,4,3.09E+08,827,42541,282,한국,"(주)대명문화공장,(주)나이너스엔터테인먼트",15세이상관람가,드라마,조치언,,,
223,84,산상수훈,2017-12-07,12,3.04E+08,12413,42342,71,한국,전체관람가,,유영의,유영의,,,
225,51,레이디버그,2017-02-22,2,3.10E+08,4151,41041,172,한국,(주)삼지애니메이션,전체관람가,"애니메이션,액션,어드벤처","장성,토마스 아스트뤽",,,
227,191,타이밍,2015-12-10,12,2.91E+08,789,38544,196,한국,(주)스톰픽쳐스코리아,15세이상관람가,애니메이션,"민경조,박대열",,,
228,47,트릭,2016-07-13,7,2.98E+08,10406,38244,390,한국,(주)시네마리퍼블릭,15세이상관람가,"스릴러,드라마",이창열,,,
231,80,4등,2016-04-13,4,2.79E+08,5438,37375,213,한국,"(주)프레인글로벌,CGV아트하우스",15세이상관람가,드라마,정지우,,박해준,0.138122657
232,26,에스엠타운 더 스테이지,2015-08-13,8,2.85E+08,23706,35857,65,한국,주식회사 디에스이이디,전체관람가,다큐멘터리,배성상,,,
233,71,한여름의 판타지아,2015-06-11,6,2.74E+08,8719,35321,59,한국,㈜인디스토리,전체관람가,드라마,장건재,,,
234,109,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,2016-08-17,8,2.66E+08,1220,34917,170,한국,(주)삼지애니메이션,전체관람가,애니메이션,이영준,,,
235,138,더 플랜,2017-04-20,4,2.63E+08,23430,34181,156,한국,(주)엣나인필름,15세이상관람가,다큐멘터리,최진성,,,
236,130,극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-13,10,2.63E+08,5403,31834,157,한국,(주)박수엔터테인먼트,전체관람가,애니메이션,히시다 마사카즈,,,
237,205,그랜드파더,2016-08-31,8,2.34E+08,8373,31624,288,한국,"(주)인벤트스톤,(주)디스테이션",청소년관람불가,"액션,드라마",이서,,,
238,47,대결,2016-09-22,9,2.43E+08,1364,31326,366,한국,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",15세이상관람가,액션,자크 리베트,,,
239,46,파울볼,2015-04-02,4,2.35E+08,4614,31063,32,한국,오퍼스픽쳐스,전체관람가,다큐멘터리,"조정래,김보경",,,0.034660706
240,47,역모-반란의 시대,2017-11-23,11,2.18E+08,20371,30116,355,한국,(주)스톰픽쳐스코리아,,액션,김홍선,,,
241,68,춘희막이,2015-09-30,9,2.04E+08,3741,29383,268,한국,"메가박스(주)플러스엠,(주)엣나인필름",12세이상관람가,다큐멘터리,박혁지,,,
242,70,뚜르: 내 생애 최고의 49일,2017-02-01,2,2.09E+08,1974,27871,227,한국,(주)리틀빅픽쳐스,12세이상관람가,다큐멘터리,"임정하,전일우,박형준,김양래",,,
243,80,마리안느와 마가렛,2017-04-20,4,1.94E+08,11687,27679,64,한국,(주)팝엔터테인먼트,전체관람가,다큐멘터리,윤세영,6.80E+07,,
244,38,내게 남은 사랑을,2017-11-02,11,1.81E+08,10152,27414,136,한국,12세이상관람가,,진광교,성지루,,,
245,47,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,9,2.18E+08,5268,26790,122,한국,씨제이이앤엠(주),15세이상관람가,"전쟁,드라마",이재한,,,0.012997121
246,119,메소드,2017-11-02,11,2.15E+08,12464,26490,205,한국,(주)엣나인필름,,"퀴어, 멜로, 드라마",방은진,4.20E+07,,
247,66,카이: 거울 호수의 전설,2016-08-17,8,1.81E+08,3631,24356,172,한국,메가박스중앙(주)플러스엠,전체관람가,애니메이션,이성강,544000,,
249,98,파워배틀 와치카: 와치가면의 역습,2017-06-01,6,1.65E+08,18213,23387,246,한국,(주)삼지애니메이션,전체관람가,애니메이션,"이영준,김래경",,,
250,38,꿈의 제인,2017-05-31,5,1.90E+08,2424,23115,86,한국,"(주)엣나인필름,CGV아트하우스",청소년관람불가,드라마,조현훈,,,
251,56,연애담,2016-11-17,11,1.87E+08,717,22875,38,한국,(주)인디플러그,청소년관람불가,멜로/로맨스,이현주,,이상희,0.009574183
252,175,유리정원,2017-10-25,10,1.60E+08,5851,22684,19,한국,12세이상관람가,,신수원,문근영,,,
253,145,터닝메카드W: 반다인의 비밀 특별판,2018-02-08,2,1.65E+08,17435,21911,168,한국,"(주)제이앤씨미디어그룹,(주)아컴스튜디오",,애니메이션,홍헌표,,,
254,38,히야,2016-03-10,3,1.74E+08,1507,21687,124,한국,(주)라이크 콘텐츠,12세이상관람가,드라마,김지연,,,
255,102,나쁜 나라,2015-12-03,12,1.45E+08,4241,21573,23,한국,"배급위원회,(주)시네마달",12세이상관람가,다큐멘터리,"김진열,이수정,정일건",,,
257,119,섬. 사라진 사람들,2016-03-03,3,1.62E+08,18044,20163,206,한국,(주)콘텐츠판다,15세이상관람가,스릴러,이지승,,,0.062126183
258,33,B급 며느리,2018-01-17,1,1.53E+08,2022,19571,60,한국,"(주)에스와이코마드,글뫼 주식회사",12세이상관람가,다큐멘터리,선호빈,40800,,
259,149,커터,2016-03-30,3,1.51E+08,4497,19405,199,한국,(주)스톰픽쳐스코리아,청소년관람불가,"범죄,드라마",정희성,,,
260,101,마돈나,2015-07-02,7,1.41E+08,12234,18064,65,한국,(주)리틀빅픽쳐스,청소년관람불가,드라마,신수원,,,0.000531899
261,87,임을 위한 행진곡,2018-05-16,5,1.40E+08,8144,18023,4,한국,(주)알앤오엔터테인먼트,,드라마,박기복,3.00E+09,,
262,118,당신자신과 당신의 것,2016-11-10,11,1.45E+08,425,17854,151,한국,"(주)영화제작전원사 ,(주)콘텐츠판다",청소년관람불가,드라마,홍상수,,김주혁,0.273031601
263,31,태양을 쏴라,2015-03-19,3,1.26E+08,16953,17444,156,한국,(유)조이앤시네마,청소년관람불가,멜로/로맨스,김태식,,,0.030536958
264,75,어떤살인,2015-10-28,10,1.37E+08,3793,17190,179,한국,"TCO(주)더콘텐츠온,(주)전망좋은 영화사",청소년관람불가,스릴러,안용훈,,,
265,85,7년-그들이 없는 언론,2017-01-12,1,1.32E+08,9407,16888,105,한국,(주)인디플러그,12세이상관람가,다큐멘터리,김진혁,,,
267,51,순교,2015-08-13,8,1.15E+08,1653,16054,8,한국,파이오니아21,전체관람가,다큐멘터리,김상철,,,
268,98,무수단,2016-03-03,3,1.26E+08,1370,15870,228,한국,오퍼스픽쳐스,15세이상관람가,"미스터리,스릴러",구모,,,
269,141,길,2017-05-11,5,72100000,3132,15716,72,한국,(주)더블앤조이픽쳐스,12세이상관람가,드라마,정인봉,,,
270,23,브링 홈: 아버지의 땅,2016-09-01,9,1.15E+08,4964,14754,36,한국,(주)드림팩트엔터테인먼트,전체관람가,다큐멘터리,텐진 체탄 초클리,,,
271,155,춘몽,2016-10-13,10,1.14E+08,627,14386,96,한국,"(주)프레인글로벌,(주)스톰픽쳐스코리아",15세이상관람가,드라마,장률,,,0.007040707
272,27,사랑이 이긴다,2015-09-10,9,1.08E+08,2614,14100,48,한국,(주)리틀빅픽쳐스,15세이상관람가,"가족,드라마",민병훈,,,0.039373549
273,80,위로공단,2015-08-13,8,1.04E+08,547,13968,34,한국,(주)엣나인필름,15세이상관람가,다큐멘터리,임흥순,,,
274,115,돌아온다,2017-12-07,12,88400000,5444,13642,58,한국,,,허철,"김유석,손수현",,,
275,173,눈발,2017-03-01,3,1.20E+08,6013,13631,69,한국,(주)리틀빅픽쳐스,15세이상관람가,드라마,조재민,,,
276,84,어우동: 주인 없는 꽃,2015-01-29,1,68200000,2360,13097,19,한국,(주)드림팩트엔터테인먼트,청소년관람불가,멜로/로맨스,이수성,,,
277,72,"안녕, 전우치! 도술로봇대결전",2015-10-08,10,92200000,738,13009,173,한국,(주)리틀빅픽쳐스,전체관람가,애니메이션,김대창,,,
278,58,용순,2017-06-08,6,91700000,7325,12442,126,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,드라마,신준,,,0.00479825
279,17,폴라로이드,2015-07-16,7,81200000,1081,12238,27,한국,와이드 릴리즈(주),전체관람가,"드라마,가족",주호성,,,
280,73,타투,2015-12-10,12,99300000,11078,12102,133,한국,와이드 릴리즈(주),청소년관람불가,스릴러,이서,,,
281,144,오 마이 파파,2016-11-10,11,85100000,1331,11996,36,한국,(주)모멘텀엔터테인먼트,전체관람가,다큐멘터리,박혁지,,,
282,162,내 친구 정일우,2017-10-26,10,76200000,2581,11964,42,한국,(주)시네마달,,,다큐멘터리,,,
284,84,검은손,2015-04-16,4,89800000,11187,11650,178,한국,(주)스톰픽쳐스코리아,청소년관람불가,공포(호러),박재식,,,
285,34,멜리스,2016-02-11,2,90900000,731,11484,141,한국,(주)드림팩트엔터테인먼트,15세이상관람가,"공포(호러),스릴러",김용운,,,
286,207,두 번째 스물,2016-11-03,11,83600000,8689,10953,175,한국,(주)리틀빅픽쳐스,청소년관람불가,"멜로/로맨스,드라마",박흥식,,,
287,67,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,12,84600000,1046,10891,194,한국,(주)삼지애니메이션,전체관람가,애니메이션,이영준,,,
288,65,나의 살던 고향은,2016-11-24,11,81300000,3305,10730,62,한국,(주)시네마달,전체관람가,다큐멘터리,류종헌,,,
289,61,제 7기사단,2015-09-10,9,80200000,9997,10710,95,한국,메가박스(주)플러스엠,15세이상관람가,"액션,어드벤처",키리야 카즈아키,,,
290,72,공동정범,2018-01-25,1,78600000,1870,10706,69,한국,"(주)엣나인필름,(주)시네마달",15세이상관람가,"스릴러,다큐멘터리","이혁상,김일란",114525.6,,
291,60,슈퍼레이서 엔지,2015-09-10,9,72900000,8525,10488,126,한국,(주)에이원엔터테인먼트,전체관람가,애니메이션,허선,,,
292,185,5.18 힌츠페터 스토리,2018-05-17,5,71700000,8364,10361,5,한국,(주)드림팩트엔터테인먼트,12세이상관람가,다큐멘터리,장영주,,,
293,64,피의 연대기,2018-01-18,1,76500000,1752,9771,26,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),12세이상관람가,다큐멘터리,김보람,136000,,
294,32,위선자들,2015-11-26,11,64700000,1024,9485,82,한국,"THE 픽쳐스,(주)씨타마운틴픽쳐스",청소년관람불가,드라마,김진홍,,,
295,57,"제자도 - 제자,옥한흠2",2016-11-10,11,66400000,5183,9358,79,한국,파이오니아21,전체관람가,다큐멘터리,김상철,,,
296,38,극장판 프리즘스톤 올스타 셀렉션,2016-07-07,7,77900000,1505,9243,109,한국,,전체관람가,"애니메이션,드라마,판타지",김영범,,,
297,45,앨리스: 원더랜드에서 온 소년,2015-12-10,12,67500000,7090,9127,59,한국,(주)영화사 안다미로,15세이상관람가,"판타지,공포(호러),멜로/로맨스",허은희,,,0.002022518
298,93,마차 타고 고래고래,2017-05-18,5,74900000,1503,8957,83,한국,와이드 릴리즈(주),15세이상관람가,드라마,안재석,,,0.064369883
299,149,중독노래방,2017-06-15,6,69500000,8152,8912,175,한국,(주)리틀빅픽쳐스,청소년관람불가,"미스터리,판타지",김상찬,,,
300,32,명량: 회오리 바다를 향하여,2015-05-07,5,64200000,1136,8897,92,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,다큐멘터리,"정세교,김한민",,,0.009862078
301,145,노트르담 드 파리,2017-11-01,11,1.11E+08,4239,8616,33,한국,(주)패뷸러스,,뮤지컬,정성복,2720000,,
302,191,올드마린보이,2017-11-02,11,61400000,2556,8568,51,한국,전체관람가,,진모영,"박영호,김순희",,,
303,71,시소,2016-11-10,11,64100000,1748,8536,49,한국,"(주)대명문화공장,(주)리틀빅픽쳐스",전체관람가,다큐멘터리,고희영,,,
304,65,기적의 피아노,2015-09-03,9,62800000,1055,8529,74,한국,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,다큐멘터리,"임성구,김은주",,,
305,199,나홀로 휴가,2016-09-22,9,61800000,6263,8148,165,한국,(주)리틀빅픽쳐스,청소년관람불가,멜로/로맨스,조재현,,박혁권,0.54756963
306,103,나는 고양이로소이다,2017-06-08,6,64800000,4700,8071,41,한국,(주)리틀빅픽쳐스,전체관람가,다큐멘터리,조은성,,,
307,120,문영,2017-01-12,1,57500000,4174,7542,23,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),15세이상관람가,드라마,김소연,,김태리,0.234299679
308,104,물숨,2016-09-29,9,55200000,2914,7422,51,한국,(주)영화사 진진,전체관람가,다큐멘터리,고희영,,,
309,43,꾸루꾸루와 친구들: 무지개 나무의 비밀,2015-11-19,11,50400000,5949,7158,103,한국,(주)팝엔터테인먼트,전체관람가,애니메이션,문제대,,,
310,110,돼지 같은 여자,2015-09-10,9,51300000,5381,7065,91,한국,CGV아트하우스,15세이상관람가,멜로/로맨스,장문일,,,
311,214,돌아와요 부산항애(愛),2018-01-17,1,53600000,3310,6954,21,한국,"(주)나이너스엔터테인먼트,주식회사 시온픽쳐스",,"범죄,액션,드라마",박희준,,,
312,85,아들에게 가는 길,2017-11-30,11,45200000,1736,6814,46,한국,(주)에스와이코마드,,"가족,드라마",최위안,,,
313,113,"다시, 벚꽃",2017-04-06,4,54300000,4509,6764,132,한국,(주)영화사 진진,12세이상관람가,다큐멘터리,유해진,,,
314,50,초행,2017-12-07,12,51700000,2458,6691,47,한국,(주)인디플러그,,,,,,
315,124,미스 프레지던트,2017-10-26,10,45600000,1617,6670,23,한국,(주)인디플러그,,,,,,
316,75,청춘 합창단 - 또 하나의 꿈,2017-06-15,6,45200000,3179,6487,39,한국,와이드 릴리즈(주),전체관람가,다큐멘터리,이혁종,,,
317,109,커피 메이트,2017-03-01,3,52100000,1663,6461,99,한국,(주)스톰픽쳐스코리아,청소년관람불가,멜로/로맨스,이현하,,,
318,56,환절기,2018-02-22,2,51600000,2507,6401,51,한국,(주)리틀빅픽쳐스,15세이상관람가,드라마,이동은,8160,,
319,73,잡식가족의 딜레마,2015-05-07,5,43700000,1280,6300,18,한국,(주)시네마달,전체관람가,다큐멘터리,황윤,,,
320,26,맛있는 택배,2015-04-02,4,31100000,1819,6276,5,한국,노바엔터테인먼트,청소년관람불가,멜로/로맨스,기대호,,,0.009995983
321,62,초인,2016-05-05,5,4.70E+07,1513,6145,30,한국,"(주)대명문화공장,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",12세이상관람가,멜로/로맨스,서은영,,,
322,120,아티스트: 다시 태어나다,2017-03-09,3,45300000,3760,6051,119,한국,(주)콘텐츠판다,15세이상관람가,"드라마,범죄,미스터리",김경원,,,0.038171197
323,29,서태지밴드 콘서트투어 '콰이어트나이트',2015-11-26,11,52700000,4243,5908,6,한국,(주)서태지컴퍼니,전체관람가,공연,서태지,3.90E+07,,
324,115,설행_눈길을 걷다,2016-03-03,3,43800000,928,5889,72,한국,(주)인디플러그,15세이상관람가,드라마,김희정,,,
325,125,양치기들,2016-06-02,6,46700000,3279,5848,56,한국,CGV아트하우스,청소년관람불가,"드라마,범죄,스릴러",김진황,,,0.000368238
326,111,커튼콜,2016-12-08,12,40600000,2396,5513,80,한국,(주)모멘텀엔터테인먼트,15세이상관람가,코미디,류훈,,,
327,215,서산개척단,2018-05-24,5,43300000,1360,5225,24,한국,(주)인디플러그,,다큐멘터리,이조훈,,,
328,137,거짓말,2015-10-29,10,41400000,3958,5130,30,한국,"(주)대명문화공장,(주)리틀빅픽쳐스",청소년관람불가,드라마,김동명,,,
329,127,프랑스 영화처럼,2016-01-14,1,37700000,2242,4875,30,한국,(주)콘텐츠판다,15세이상관람가,드라마,신연식,,,
330,118,로마서 8:37,2017-11-16,11,36500000,1541,4841,44,한국,(주) 루스이소니도스,,,,,,
331,77,쇠파리,2017-05-25,5,36100000,359,4792,56,한국,(주)영화사 그램,15세이상관람가,"범죄,드라마",안철호,,,0.001707285
332,71,세상끝의 사랑,2015-11-12,11,37200000,3668,4746,97,한국,(주)스톰픽쳐스코리아,청소년관람불가,멜로/로맨스,김인식,,,
334,170,튼튼이의 모험,2018-06-21,6,34800000,2185,4554,88,한국,"CGV아트하우스,㈜인디스토리",,,,,,
335,90,마이 페어 웨딩,2015-06-04,6,34500000,895,4499,39,한국,(주)영화사 진진,12세이상관람가,다큐멘터리,장희선,,,
336,19,해적왕 작스톰,2018-07-25,7,36100000,4434,4434,63,한국,(주)삼지애니메이션,,,,,,
337,57,드래곤빌리지,2017-06-08,6,15400000,798,4413,4,한국,(주)에픽캔,,애니메이션,민경호,,,
338,121,산다,2015-05-21,5,32500000,1516,4384,33,한국,(주)리틀빅픽쳐스,청소년관람불가,드라마,박정범,,,
339,75,위켄즈,2016-12-22,12,3.30E+07,1106,4339,12,한국,무브먼트,15세이상관람가,다큐멘터리,이동하,,,
340,196,꿈보다 해몽,2015-02-12,2,32500000,1911,4318,36,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),15세이상관람가,"드라마,코미디",이광국,,,
341,23,직지코드,2017-06-28,6,30400000,757,4235,39,한국,(주)엣나인필름,전체관람가,다큐멘터리,"우광훈,데이빗 레드먼",,,
342,81,파란나비효과,2017-06-22,6,30100000,801,4229,41,한국,(주)인디플러그,12세이상관람가,다큐멘터리,박문칠,,,
343,121,"나의 아들, 나의 어머니",2015-12-17,12,3.00E+07,1311,4202,24,한국,(주)인디플러그,전체관람가,다큐멘터리,안재민,,,
344,93,델타 보이즈,2017-06-08,6,29500000,1656,4158,28,한국,㈜인디스토리,15세이상관람가,"드라마,코미디",고봉수,,,
345,54,반짝이는 박수 소리,2015-04-23,4,26200000,1008,4125,21,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),전체관람가,다큐멘터리,이길보라,,,
346,67,왕을 참하라,2017-03-16,3,31300000,2920,4088,54,한국,(주)박수엔터테인먼트,청소년관람불가,드라마,김재수,,,
347,99,업사이드 다운,2016-04-14,4,2.70E+07,1559,3932,22,한국,(주)시네마달,12세이상관람가,다큐멘터리,김동빈,,,
348,67,설해,2015-01-08,1,29400000,894,3892,34,한국,"(주)마인스 엔터테인먼트,(주)씨타마운틴픽쳐스",12세이상관람가,"멜로/로맨스,드라마",김정권,,,
349,88,생각보다 맑은,2015-01-22,1,27200000,1623,3848,17,한국,"애니메이션 배급, 씨앗,㈜인디스토리",12세이상관람가,애니메이션,한지원,,,
350,60,그림자들의 섬,2016-08-25,8,26200000,683,3793,15,한국,(주)시네마달,15세이상관람가,다큐멘터리,김정근,,,
351,89,식구,2018-07-12,7,29700000,2255,3708,52,한국,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",,,,,,
352,121,시간의 종말,2016-11-03,11,2.50E+07,1747,3702,33,한국,(주)영화사 진진,전체관람가,전체관람가,다큐멘터리,,,
353,51,메리 크리스마스 미스터 모,2017-12-14,12,25400000,1235,3619,31,한국,,,기타,임대형,,,
354,127,그라운드의 이방인,2015-03-19,3,23700000,1373,3595,28,한국,㈜인디스토리,전체관람가,다큐멘터리,김명준,,,
355,220,철원기행,2016-04-21,4,25400000,1869,3591,29,한국,주식회사 디에스이이디,12세이상관람가,드라마,김대환,,,0.001595697
356,76,할머니의 먼 집,2016-09-29,9,24700000,1180,3543,18,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),전체관람가,다큐멘터리,이소현,,,
357,59,늙은 자전거,2015-11-12,11,21300000,1594,3522,17,한국,(주)씨타마운틴픽쳐스,전체관람가,"드라마,가족",문희융,,,
358,139,레나,2016-05-26,5,22200000,1291,3503,14,한국,(주)모멘텀엔터테인먼트,12세이상관람가,"멜로/로맨스,드라마",김도원,,,0.013880435
